,id,Apt_id,url,Address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
895,895,2263,https://junehomes.com/residences/boston-ma/somerville/816-somerville/2263,somerville/816-somerville/2263,3,1,1825,150,2023-09-01,2023-05-30,"This 150 square footage room on Boston's Somerville is a clean, spacious and glossy room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
896,896,4030,https://junehomes.com/residences/boston-ma/allston/1390-allston/4030,allston/1390-allston/4030,4,2,1825,127,2023-05-30,2023-05-24,"This comfy, cute and charming room is available."
897,897,1202,https://junehomes.com/residences/boston-ma/allston/444-allston/1202,allston/444-allston/1202,4,2,1825,162,2023-09-01,2023-07-05,"This good-looking, spacious and neat room is available."
898,898,813,https://junehomes.com/residences/boston-ma/savin/327-savin-hill/813,savin/327-savin-hill/813,3,1,1825,91,2023-06-16,2023-04-30,"This 91 square footage room on Boston, Savin Hill  is a clean, spacious and glossy room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
899,899,3002,https://junehomes.com/residences/boston-ma/mission-hill/1036-mission-hill/3002,mission-hill/1036-mission-hill/3002,6,3,1825,292,2023-09-01,2023-10-01,"This 292 square footage room on Boston's Mission Hill is a clean, cute and spacious room in a 6-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
900,900,1603,https://junehomes.com/residences/boston-ma/allston/585-allston/1603,allston/585-allston/1603,4,2.5,1850,198,2023-09-01,2023-09-20,"This clean, spacious and functional room is available."
901,901,3756,https://junehomes.com/residences/boston-ma/central-square/1297-central-square-cambridge/3756,central-square/1297-central-square-cambridge/3756,3,1,1825,121,2023-01-21,2023-03-02,"This 121 square footage room on Boston's Central Square (Cambridge) is a clean, spacious and smart room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
902,902,2996,https://junehomes.com/residences/boston-ma/mission-hill/1035-mission-hill/2996,mission-hill/1035-mission-hill/2996,6,3,1825,237,2023-01-21,2023-10-01,"This 237 square footage room on Boston's Mission Hill is a clean, cute and spacious room in a 6-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
903,903,3706,https://junehomes.com/residences/boston-ma/allston/1282-allston/3706,allston/1282-allston/3706,4,2,1850,186,2023-04-08,2023-10-01,"This comfy, cute and charming room is available."
904,904,1618,https://junehomes.com/residences/boston-ma/central-square/588-somerville/1618,central-square/588-somerville/1618,4,2,1850,169,2023-06-01,2023-07-18,"This 169 square footage room on Boston's Central Square (Cambridge) is a clean, spacious and glossy room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
905,905,3722,https://junehomes.com/residences/boston-ma/allston/1285-allston/3722,allston/1285-allston/3722,4,1.5,1850,124,2023-09-26,2023-10-08,"This 124 square footage room on Boston, Allston is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
906,906,885,https://junehomes.com/residences/boston-ma/south-boston/349-south-boston/885,south-boston/349-south-boston/885,5,3,1850,136,2023-04-30,2023-09-30,"This clean, shiny and charming room is available."
907,907,3879,https://junehomes.com/residences/boston-ma/brighton/1341-brighton/3879,brighton/1341-brighton/3879,10,2,1850,196,2023-04-24,2023-05-30,"This 196 square footage room on Boston's spaciouson is a spacious, cute and clean room in a 10-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
908,908,1234,https://junehomes.com/residences/boston-ma/allston/457-allston/1234,allston/457-allston/1234,5,2,1825,175,2023-05-31,2023-06-30,"This clean, spacious and pretty room is available."
909,909,957,https://junehomes.com/residences/boston-ma/brighton/368-brighton/957,brighton/368-brighton/957,4,2,1750,150,2023-03-31,2024-03-06,"This good-looking, spacious and appealing room is available."
910,910,506,https://junehomes.com/residences/boston-ma/allston/234-allston/506,allston/234-allston/506,5,2,1850,153,2023-09-01,2023-06-30,"This clean, spacious and glossy room is available."
911,911,3989,https://junehomes.com/residences/boston-ma/mission-hill/1375-mission-hill/3989,mission-hill/1375-mission-hill/3989,5,2,1775,125,2023-08-21,2023-08-01,"This 125 square footage room on Boston's Mission Hill is a clean, spacious and glossy room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
