,id,Trans_id,stations,color,walktime,description
96,30,2,",Middleborough/Lakeville",#8E44AD,6,JFK / UMass
97,30,3,",18",#F5C00E,2,Dorchester Ave @ Edison Green
98,31,0,",B",#00843D,8,Harvard Avenue
99,31,1,",Framingham/Worcester,Line",#8E44AD,12,Boston Landing
100,31,2,",64,66,501",#F5C00E,2,Cambridge St @ Linden St
101,32,0,",Framingham/Worcester",#8E44AD,6,Auburndale
102,32,1,",D",#00843D,11,Riverside
103,32,2,",558",#F5C00E,11,Riverside
104,32,3,",MBRS",#DA1721,11,Riverside
105,33,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,JFK / UMass
106,33,1,",Red,Line",#DA1721,11,JFK / UMass
107,33,2,",8,16,41",#F5C00E,11,JFK / UMass
108,34,0,",Fairmount,Line",#B933AD,7,Four Corners/Geneva
109,34,1,",14,22,28,29,45",#F5C00E,3,Blue Hill Ave opp McLellan St
110,34,2,",16",#F5C00E,3,Old Rd @ Ellington St
111,35,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,JFK / UMass
112,35,1,",Red,Line",#DA1721,11,JFK / UMass
113,35,2,",8,16,41",#F5C00E,11,JFK / UMass
114,36,0,",Fairmount,Line,Franklin,Line",#8E44AD,9,Uphams Corner
115,36,1,",Kingston,Line,Greenbush,Line,Middleborough/Lakeville,Line",#8E44AD,12,JFK / UMass
116,36,2,",Red,Line",#DA1721,12,JFK / UMass
117,36,3,",8,,16,41,Red,Line,Shuttle",#F5C00E,12,JFK / UMass
118,37,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,JFK / UMass
119,37,1,",Red,Line",#DA1721,11,JFK / UMass
120,37,2,",8,16,41",#F5C00E,11,JFK / UMass
121,38,0,",Red,Line",#DA1721,8,Andrew
122,38,1,",Fairmount,Line,Franklin,Line",#8E44AD,11,Newmarket
123,38,2,",Greenbush,Kingston,Middleborough/Lakeville",#8E44AD,14,JFK / UMass
124,38,3,",8,41,16",#F5C00E,14,JFK / UMass
125,39,0,",Framingham/Worcester,Line",#8E44AD,12,Boston Landing
126,39,1,",64,66,501",#F5C00E,1,Cambridge St @ Linden St
127,39,2,",57",#F5C00E,4,Brighton Ave @ Linden St
128,40,0,",Red,Line",#DA1721,8,Andrew
129,40,1,",Fairmount,Line,Franklin,Line",#8E44AD,11,Newmarket
130,40,2,",Greenbush,Kingston,Middleborough/Lakeville",#8E44AD,14,JFK / UMass
131,40,3,",8,41,16",#F5C00E,14,JFK / UMass
132,41,0,",Red,Line",#EC211F,8,Porter
133,41,1,",Fitchburg,Line",#B933AD,8,Porter
134,41,2,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
135,41,3,",87,88,89,90,94,96",#F5C00E,10,Davis
136,42,0,",Orange,Line",#EB841E,8,Stony Brook
137,42,1,",42",#F5C00E,1,Washington St @ School St
138,42,2,",22,29,44",#F5C00E,2,Columbus Ave @ Weld Ave
139,43,0,",Red,Line",#EC211F,8,Porter
140,43,1,",Fitchburg,Line",#B933AD,8,Porter
141,43,2,",88,89",#F5C00E,2,Highland Ave @ Willow Ave
142,43,3,",87,88,89,90,94,96",#F5C00E,10,Davis
143,44,0,",E",#00843D,5,Fenwood Road
144,44,1,",Orange,Line",#EB841E,10,Roxbury Crossing
145,44,2,",35,39,66",#F5C00E,4,Huntington Ave opp Fenwood Rd
146,45,0,",B",#00843D,16,Boston College
147,46,0,",B",#00843D,8,Harvard Avenue
148,46,1,",Framingham/Worcester",#8E44AD,12,Boston Landing
149,46,2,",64,66,501",#F5C00E,2,Cambridge St @ Linden St
150,47,0,",Fairmount/Franklin",#8E44AD,8,Uphams Corner
151,47,1,",Red,Line",#DA1721,15,JFK / UMass
152,47,2,",Greenbush/Kingston",#8E44AD,15,JFK / UMass
153,47,3,",Middleborough/Lakeville",#8E44AD,15,JFK / UMass
154,48,0,",Framingham/Worcester,Line",#8E44AD,12,Boston Landing
155,48,1,",64,66,501",#F5C00E,1,Cambridge St @ Linden St
156,48,2,",57",#F5C00E,4,Brighton Ave @ Linden St
157,49,0,",B",#018835,14,Warren Street
158,49,1,",51,57,66",#F5C00E,5,Market St @ Keenan Rd
159,49,2,",86",#F5C00E,6,Cambridge St @ Dustin St
160,50,0,",E",#00843D,5,Fenwood Road
161,50,1,",Orange,Line",#EB841E,10,Roxbury Crossing
162,50,2,",35,39,66",#F5C00E,4,Huntington Ave opp Fenwood Rd
163,51,0,",B",#018835,14,Warren Street
164,51,1,",51,57,66",#F5C00E,5,Market St @ Keenan Rd
165,51,2,",86",#F5C00E,6,Cambridge St @ Dustin St
166,52,0,",Orange,Line",#EB841E,8,Jackson Square
167,52,1,",E",#00843D,9,Health Street
168,53,0,",Red,Line",#DA1721,8,Andrew
169,53,1,",Fairmount,Line,Franklin,Line",#8E44AD,11,Newmarket
170,53,2,",Greenbush,Kingston,Middleborough/Lakeville",#8E44AD,14,JFK / UMass
171,53,3,",8,41,16",#F5C00E,14,JFK / UMass
172,54,0,",Red,line",#EC211F,3,JFK / UMass
173,54,1,",Greenbush,Kingston",#B933AD,3,JFK / UMass
174,54,2,",Middleborough/Lakeville",#B933AD,3,JFK / UMass
175,54,3,",8,16,41",#F5C00E,3,JFK / UMass
176,55,0,",Framingham/Worcester",#8E44AD,6,Auburndale
177,55,1,",D",#00843D,11,Riverside
178,55,2,",558",#F5C00E,11,Riverside
179,55,3,",MBRS",#DA1721,11,Riverside
180,56,0,",Red,Line",#DA1721,10,JFK / UMass
181,56,1,",Kingston/Greenbush",#8E44AD,10,JFK / UMass
182,56,2,",Middleborough/Lakeville",#8E44AD,10,JFK / UMass
183,56,3,",8,16,41",#EB841E,10,JFK / UMass
184,57,0,",Fairmount,Line",#B933AD,7,Four Corners/Geneva
185,57,1,",14,22,28,29,45",#F5C00E,3,Blue Hill Ave opp McLellan St
186,57,2,",16",#F5C00E,3,Old Rd @ Ellington St
187,58,0,",Fairmount,Line",#B933AD,7,Four Corners/Geneva
188,58,1,",14,22,28,29,45",#F5C00E,3,Blue Hill Ave opp McLellan St
189,58,2,",16",#F5C00E,3,Old Rd @ Ellington St
190,59,0,",Red,Line",#DA1721,3,JFK / UMass
191,59,1,",Greenbush/Kingston",#B933AD,3,JFK / UMass
192,59,2,",Lakeville,Line",#B933AD,3,JFK / UMass
193,60,0,",Red,Line",#DA1721,6,JFK / UMass
194,60,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,JFK / UMass
195,60,2,",Fairmount,Line,Franklin,Line",#8E44AD,15,Uphams Corner
196,60,3,",8,16,41",#F5C00E,6,JFK / UMass
197,61,0,",B",#018835,14,Warren Street
198,61,1,",51,57,66",#F5C00E,5,Market St @ Keenan Rd
199,61,2,",86",#F5C00E,6,Cambridge St @ Dustin St
200,62,0,",Red,LIne",#EC211F,8,JFK / UMass
201,62,1,",Greenbush/Kingston",#8E44AD,8,JFK / UMass
202,62,2,",Middleborough/Lakeville",#8E44AD,8,JFK / UMass
203,62,3,",8,16,41",#EB841E,8,JFK / UMass
204,62,4,",18",#EB841E,2,Dorchster Ave @ Howes St
205,63,0,",57,501",#F5C00E,2,Washington St @ Oak Square Ave
206,63,1,",64",#F5C00E,6,Faneuil St @ Brooks St
207,64,0,",B",#00843D,8,Harvard Avenue
208,64,1,",64,66,501",#F5C00E,1,Cambridge Street
209,65,0,",64",#F5C00E,6,Brooks St @ Faneuil St
210,65,1,",57,501",#F5C00E,8,Washington St @ Foster St
211,65,2,",86",#F5C00E,9,Market St @ Sparhawk St
212,66,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,JFK / UMass
213,66,1,",Red,Line",#DA1721,11,JFK / UMass
214,66,2,",8,16,41",#F5C00E,11,JFK / UMass
215,67,0,",B",#018835,14,Warren Street
216,67,1,",51,57,66",#F5C00E,5,Market St @ Keenan Rd
217,67,2,",86",#F5C00E,6,Cambridge St @ Dustin St
218,68,0,",B",#018835,14,Warren Street
219,68,1,",51,57,66",#F5C00E,5,Market St @ Keenan Rd
220,68,2,",86",#F5C00E,6,Cambridge St @ Dustin St
221,69,0,",B",#018835,4,Sutherland Road
222,69,1,",C",#018835,5,Dean Road
223,70,0,",Red,Line",#e02826,14,JFK / UMass
224,70,1,",Fairmount,Franklin",#80276c,8,Uphams Corner
225,70,2,",Greenbush,Kingstone,Middleborough/Lakeville",#80276c,14,JFK / UMass
226,70,3,",Middleborough/Lakeville",#80276c,14,JFK / UMass
227,71,0,",Fairmount,Line",#B933AD,5,Uphams Corner
228,71,1,",Kingston,Line",#B933AD,15,JFK / UMass
229,71,2,",Greenbush,Line",#B933AD,15,JFK / UMass
230,71,3,",Red,line",#DA1721,15,JFK / UMass
231,71,4,",16,17,41",#F5C00E,5,Columbia Rd @ Holden St
232,72,0,",57,501",#F5C00E,5,Tremont St @ Washington St
233,72,1,",64",#F5C00E,5,Faneuil St @ Bigelow St
234,73,0,",Red,Line",#e02826,14,JFK / UMass
235,73,1,",Fairmount,Franklin",#80276c,8,Uphams Corner
236,73,2,",Greenbush,Kingstone,Middleborough/Lakeville",#80276c,14,JFK / UMass
237,73,3,",Middleborough/Lakeville",#80276c,14,JFK / UMass
238,74,0,",B",#018835,14,Warren Street
239,74,1,",51,57,66",#F5C00E,5,Market St @ Keenan Rd
240,74,2,",86",#F5C00E,6,Cambridge St @ Dustin St
241,75,0,",Red,Line",#EC211F,6,JFK/UMass
242,75,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,JFK/UMass
243,75,2,",Fairmount,Line,Franklin/Foxboro,Line",#8E44AD,15,Newmarket
