,id,Amenities
38,38,"Street parking, WiFi (Paid), Guarantors allowed, Laundry in building (paid), HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
39,39,"Street parking, Dine in kitchen, Smoke-free, Guarantors allowed, Laundry in building (paid), Electric heating, WiFi (Paid), Microwave, Oven, Refrigerator"
40,40,"Laundry in building (paid), HVAC, Smoke-free, WiFi (Paid), Guarantors allowed, Hardwood floors, Microwave, Oven, Refrigerator"
41,41,"Paid parking, Smoke-free, Guarantors allowed, Laundry in building (paid), Dine in kitchen, Dishwasher, HVAC, Balcony, Microwave, Oven, Refrigerator"
42,42,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Electric heating, Dishwasher, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
43,43,"Paid parking, Smoke-free, Guarantors allowed, Laundry in building (paid), Dine in kitchen, Dishwasher, HVAC, Balcony, Microwave, Oven, Refrigerator"
44,44,"Laundry in building (paid), Electric heating, Paid parking, Smoke-free, WiFi (Paid), Guarantors allowed, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
45,45,"Central AC (Common space), Central heating, Laundry in home (free), Paid parking, 32-inch Flat-Screen TV, Dishwasher, Smoke-free, WiFi (Paid), Guarantors allowed, Hardwood floors, Oven, Refrigerator"
46,46,"Street parking, Laundry in building (paid), Smoke-free, Guarantors allowed, Dine in kitchen, Electric heating, WiFi (Paid), Dishwasher, Microwave, Oven, Refrigerator"
47,47,"Guarantors allowed, Dishwasher, Smoke-free, WiFi (Paid), Gas heating, Hardwood floors, Oven, Refrigerator"
48,48,"Street parking, Dine in kitchen, Smoke-free, Guarantors allowed, Laundry in building (paid), Electric heating, WiFi (Paid), Microwave, Oven, Refrigerator"
49,49,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dine in kitchen, Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
50,50,"Laundry in building (paid), Electric heating, Paid parking, Smoke-free, WiFi (Paid), Guarantors allowed, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
51,51,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dine in kitchen, Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
52,52,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in building (paid), Window AC (Common space), 32-inch Flat-Screen TV, Electric heating, Hardwood floors, Microwave, Oven, Refrigerator"
53,53,"Street parking, WiFi (Paid), Guarantors allowed, Laundry in building (paid), HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
54,54,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Laundry in home (free), Dishwasher, HVAC, Decorative fireplace, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
55,55,"WiFi (Paid), Smoke-free, Guarantors allowed, Gas heating, Laundry in building (paid)"
56,56,"Smoke-free, Street parking, Dishwasher, Guarantors allowed, WiFi (Paid), Laundry in building (free), Hardwood floors, Microwave, Oven, Refrigerator"
57,57,"Street parking, Dishwasher, Smoke-free, Guarantors allowed, Radiator heating, Laundry in home (free), 32-inch Flat-Screen TV, Living area, Microwave, Oven, Refrigerator"
58,58,"Street parking, Dishwasher, Smoke-free, Guarantors allowed, Radiator heating, Laundry in home (free), 32-inch Flat-Screen TV, Living area, Microwave, Oven, Refrigerator"
59,59,"Laundry in home (free), WiFi (Paid), Guarantors allowed, HVAC, Central AC (Common space), 32-inch Flat-Screen TV, Paid parking, Dishwasher, Smoke-free, Hardwood floors, Oven, Refrigerator"
60,60,"Window AC (Common space), WiFi (Paid), Guarantors allowed, Paid parking, Laundry in home (free), HVAC, Smoke-free, Hardwood floors, Microwave, Oven, Refrigerator"
61,61,"Street parking, Smoke-free, Guarantors allowed, Laundry in home (free), Dine in kitchen, Radiator heating, Dishwasher, Hardwood floors, Microwave, Oven, Refrigerator"
62,62,"Smoke-free, Dishwasher, HVAC, WiFi (Paid), Laundry in building (paid), Guarantors allowed, Hardwood floors, Microwave, Oven, Refrigerator"
63,63,"Street parking, Smoke-free, WiFi (Paid), Guarantors allowed, Electric heating, Laundry in building (paid), Dishwasher, Wall-Mounted TV, Hardwood floors, Oven, Refrigerator"
