id,Apt_id,url,address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
292,1215,https://junehomes.com/residences/boston-ma/brighton/445-brighton/1215,brighton,3,2,1650,140,2022-12-17,2023-01-16,"This good-looking, spacious and neat room is available."
292,1215,https://junehomes.com/residences/boston-ma/brighton/445-brighton/1215,445-brighton,3,2,1650,140,2022-12-17,2023-01-16,"This good-looking, spacious and neat room is available."
292,1215,https://junehomes.com/residences/boston-ma/brighton/445-brighton/1215,1215,3,2,1650,140,2022-12-17,2023-01-16,"This good-looking, spacious and neat room is available."
293,4128,https://junehomes.com/residences/boston-ma/allston/1421-allston/4128,allston,4,1,1650,74,2022-12-31,2023-01-30,"This 74 square footage room on Boston Allston is a spacious, lovely and clean room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
293,4128,https://junehomes.com/residences/boston-ma/allston/1421-allston/4128,1421-allston,4,1,1650,74,2022-12-31,2023-01-30,"This 74 square footage room on Boston Allston is a spacious, lovely and clean room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
293,4128,https://junehomes.com/residences/boston-ma/allston/1421-allston/4128,4128,4,1,1650,74,2022-12-31,2023-01-30,"This 74 square footage room on Boston Allston is a spacious, lovely and clean room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
294,3762,https://junehomes.com/residences/boston-ma/central-square/1299-central-square-cambridge/3762,central-square,3,1,1650,105,2022-12-30,2023-01-29,"This 105 square footage room on Boston's Central Square (Cambridge) is a clean, spacious and flashing room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
294,3762,https://junehomes.com/residences/boston-ma/central-square/1299-central-square-cambridge/3762,1299-central-square-cambridge,3,1,1650,105,2022-12-30,2023-01-29,"This 105 square footage room on Boston's Central Square (Cambridge) is a clean, spacious and flashing room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
294,3762,https://junehomes.com/residences/boston-ma/central-square/1299-central-square-cambridge/3762,3762,3,1,1650,105,2022-12-30,2023-01-29,"This 105 square footage room on Boston's Central Square (Cambridge) is a clean, spacious and flashing room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
295,2678,https://junehomes.com/residences/boston-ma/jfk/948-savin-hill/2678,jfk,5,1,1650,119,2023-01-01,2023-01-31,"This 119 square footage room on Boston's JFK/UMass is a clean, spacious and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
295,2678,https://junehomes.com/residences/boston-ma/jfk/948-savin-hill/2678,948-savin-hill,5,1,1650,119,2023-01-01,2023-01-31,"This 119 square footage room on Boston's JFK/UMass is a clean, spacious and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
295,2678,https://junehomes.com/residences/boston-ma/jfk/948-savin-hill/2678,2678,5,1,1650,119,2023-01-01,2023-01-31,"This 119 square footage room on Boston's JFK/UMass is a clean, spacious and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
296,2891,https://junehomes.com/residences/boston-ma/fenway/1005-fenway/2891,fenway,6,2,1650,104,2023-01-01,2023-01-31,"This 104 square footage room on Boston's Fenway is a clean, spacious and modern room in a 6-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
296,2891,https://junehomes.com/residences/boston-ma/fenway/1005-fenway/2891,1005-fenway,6,2,1650,104,2023-01-01,2023-01-31,"This 104 square footage room on Boston's Fenway is a clean, spacious and modern room in a 6-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
296,2891,https://junehomes.com/residences/boston-ma/fenway/1005-fenway/2891,2891,6,2,1650,104,2023-01-01,2023-01-31,"This 104 square footage room on Boston's Fenway is a clean, spacious and modern room in a 6-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
297,3573,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3573,brighton,4,1,1650,108,2022-12-30,2023-01-29,"This bright, sunny and shine room is available."
297,3573,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3573,1238-brighton,4,1,1650,108,2022-12-30,2023-01-29,"This bright, sunny and shine room is available."
297,3573,https://junehomes.com/residences/boston-ma/brighton/1238-brighton/3573,3573,4,1,1650,108,2022-12-30,2023-01-29,"This bright, sunny and shine room is available."
