,id,Amenities
282,25,Refrigerator
283,26,Street parking
284,26,WiFi (Paid)
285,26,Guarantors allowed
286,26,Laundry in building (paid)
287,26,Dishwasher
288,26,Electric heating
289,26,Smoke-free
290,26,Hardwood floors
291,26,Oven
292,26,Refrigerator
293,27,Street parking
294,27,Guarantors allowed
295,27,Electric heating
296,27,Laundry in home (free)
297,27,32-inch Flat-Screen TV
298,27,Dishwasher
299,27,Smoke-free
300,27,WiFi (Paid)
301,27,Hardwood floors
302,27,Oven
303,27,Refrigerator
304,28,Paid parking
305,28,Smoke-free
306,28,Guarantors allowed
307,28,Laundry in building (paid)
308,28,Dine in kitchen
309,28,Dishwasher
310,28,HVAC
311,28,Balcony
312,28,Microwave
313,28,Oven
314,28,Refrigerator
315,29,Smoke-free
316,29,Dine in kitchen
317,29,HVAC
318,29,WiFi (Paid)
319,29,Paid parking
320,29,Laundry in building (paid)
321,29,Guarantors allowed
322,29,Hardwood floors
323,29,Microwave
324,29,Oven
325,29,Refrigerator
326,30,Window AC (Common space)
327,30,WiFi (Paid)
328,30,Guarantors allowed
329,30,Paid parking
330,30,Laundry in home (free)
331,30,HVAC
332,30,Smoke-free
333,30,Hardwood floors
334,30,Microwave
335,30,Oven
336,30,Refrigerator
337,31,Street parking
338,31,32-inch Flat-Screen TV
339,31,WiFi (Paid)
340,31,Dishwasher
341,31,Smoke-free
342,31,Guarantors allowed
343,31,Laundry in building (paid)
344,31,Electric heating
345,31,Living area
346,31,Hardwood floors
347,31,Microwave
348,31,Oven
349,31,Refrigerator
350,32,WiFi (Paid)
351,32,Smoke-free
352,32,Guarantors allowed
353,32,Gas heating
354,32,Laundry in building (paid)
355,33,Dishwasher
356,33,32-inch Flat-Screen TV
357,33,Smoke-free
358,33,Guarantors allowed
359,33,Radiator heating
360,33,Hardwood floors
361,33,Microwave
362,33,Oven
363,33,Refrigerator
364,34,Street parking
365,34,Dishwasher
366,34,Smoke-free
367,34,Guarantors allowed
368,34,Radiator heating
369,34,Laundry in home (free)
370,34,32-inch Flat-Screen TV
371,34,Living area
372,34,Microwave
373,34,Oven
374,34,Refrigerator
375,35,Dishwasher
376,35,32-inch Flat-Screen TV
377,35,Smoke-free
378,35,Guarantors allowed
379,35,Radiator heating
380,35,Hardwood floors
381,35,Microwave
382,35,Oven
383,35,Refrigerator
384,36,Laundry in home (free)
385,36,Dine in kitchen
386,36,Radiator heating
387,36,Paid parking
388,36,Smoke-free
389,36,WiFi (Paid)
390,36,Guarantors allowed
391,36,Outdoor space
392,36,Hardwood floors
393,36,Microwave
394,36,Oven
395,36,Refrigerator
396,37,Dishwasher
397,37,32-inch Flat-Screen TV
398,37,Smoke-free
399,37,Guarantors allowed
400,37,Radiator heating
401,37,Hardwood floors
402,37,Microwave
403,37,Oven
404,37,Refrigerator
405,38,Street parking
406,38,WiFi (Paid)
407,38,Guarantors allowed
408,38,Laundry in building (paid)
409,38,HVAC
410,38,Smoke-free
411,38,Hardwood floors
412,38,Microwave
413,38,Oven
414,38,Refrigerator
415,39,Street parking
416,39,Dine in kitchen
417,39,Smoke-free
418,39,Guarantors allowed
419,39,Laundry in building (paid)
420,39,Electric heating
421,39,WiFi (Paid)
422,39,Microwave
423,39,Oven
424,39,Refrigerator
425,40,Laundry in building (paid)
426,40,HVAC
427,40,Smoke-free
428,40,WiFi (Paid)
429,40,Guarantors allowed
430,40,Hardwood floors
431,40,Microwave
432,40,Oven
433,40,Refrigerator
434,41,Paid parking
435,41,Smoke-free
436,41,Guarantors allowed
437,41,Laundry in building (paid)
438,41,Dine in kitchen
439,41,Dishwasher
440,41,HVAC
441,41,Balcony
442,41,Microwave
443,41,Oven
444,41,Refrigerator
445,42,Street parking
446,42,Smoke-free
447,42,WiFi (Paid)
448,42,Guarantors allowed
449,42,Laundry in building (paid)
450,42,Electric heating
451,42,Dishwasher
452,42,Wall-Mounted TV
453,42,Hardwood floors
454,42,Oven
455,42,Refrigerator
456,43,Paid parking
457,43,Smoke-free
458,43,Guarantors allowed
459,43,Laundry in building (paid)
460,43,Dine in kitchen
461,43,Dishwasher
462,43,HVAC
463,43,Balcony
464,43,Microwave
465,43,Oven
466,43,Refrigerator
467,44,Laundry in building (paid)
468,44,Electric heating
469,44,Paid parking
