,id,Transport
17,17,"[{'id': 0, 'stations': ['23'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Washington St @ Columbia Rd'}, {'id': 1, 'stations': ['16', '19'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Columbia Rd @ Washington St'}, {'id': 2, 'stations': ['Franklin/Fairmount', 'Line'], 'color': '#80276c', 'walktime': 3, 'description': 'Four Corners/Geneva'}]"
18,18,"[{'id': 0, 'stations': ['57', '501'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Tremont St @ Washington St'}, {'id': 1, 'stations': ['64'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Faneuil St @ Bigelow St'}]"
19,19,"[{'id': 0, 'stations': ['Franklin', 'Fairmount'], 'color': '#8E44AD', 'walktime': 12, 'description': 'Morton Street'}, {'id': 1, 'stations': ['28', '29'], 'color': '#F5C00E', 'walktime': 2, 'description': 'Blue Hill Ave @ Woodrow Ave'}]"
20,20,"[{'id': 0, 'stations': ['Red', 'LIne'], 'color': '#EC211F', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '16', '41'], 'color': '#EB841E', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 4, 'stations': ['18'], 'color': '#EB841E', 'walktime': 2, 'description': 'Dorchster Ave @ Howes St'}]"
21,21,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Fairmount/Franklin'], 'color': '#8E44AD', 'walktime': 15, 'description': 'Uphams Corner'}, {'id': 3, 'stations': ['8', '16', '41'], 'color': '#F5C00E', 'walktime': 6, 'description': 'JFK / UMass'}]"
22,22,"[{'id': 0, 'stations': ['Red', 'Line'], 'color': '#EC211F', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['8', '16', '41'], 'color': '#F5C00E', 'walktime': 6, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['Fairmount/Franklin'], 'color': '#80276c', 'walktime': 15, 'description': 'Uphams Corner'}, {'id': 4, 'stations': ['17', '18'], 'color': '#F5C00E', 'walktime': 7, 'description': 'Boston St @ Mayhew St'}]"
23,23,"[{'id': 0, 'stations': ['80'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Medford St @ Glenwood Rd'}, {'id': 1, 'stations': ['89', '89/93'], 'color': '#F5C00E', 'walktime': 5, 'description': 'Broadway @ Medford St - Magoun Sq'}, {'id': 2, 'stations': ['101'], 'color': '#F5C00E', 'walktime': 10, 'description': 'Main St @ Broadway'}]"
24,24,"[{'id': 0, 'stations': ['Framingham/Worcester', 'Line'], 'color': '#8E44AD', 'walktime': 12, 'description': 'Boston Landing'}, {'id': 1, 'stations': ['64', '66', '501'], 'color': '#F5C00E', 'walktime': 1, 'description': 'Cambridge St @ Linden St'}, {'id': 2, 'stations': ['57'], 'color': '#F5C00E', 'walktime': 4, 'description': 'Brighton Ave @ Linden St'}]"
25,25,"[{'id': 0, 'stations': ['Red', 'LIne'], 'color': '#EC211F', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '16', '41'], 'color': '#EB841E', 'walktime': 8, 'description': 'JFK / UMass'}, {'id': 4, 'stations': ['18'], 'color': '#EB841E', 'walktime': 2, 'description': 'Dorchster Ave @ Howes St'}]"
26,26,"[{'id': 0, 'stations': ['Greenbush/Kingston'], 'color': '#8E44AD', 'walktime': 1, 'description': 'JFK / UMass'}, {'id': 1, 'stations': ['Red', 'Line'], 'color': '#DA1721', 'walktime': 1, 'description': 'JFK / UMass'}, {'id': 2, 'stations': ['Middleborough/Lakeville'], 'color': '#8E44AD', 'walktime': 1, 'description': 'JFK / UMass'}, {'id': 3, 'stations': ['8', '16', '41'], 'color': '#EB841E', 'walktime': 1, 'description': 'JFK / UMass'}]"
