id,Amenities
27,Refrigerator
28,"Paid parking"
28,Smoke-free
28,"Guarantors allowed"
28,"Laundry in building (paid)"
28,"Dine in kitchen"
28,Dishwasher
28,HVAC
28,Balcony
28,Microwave
28,Oven
28,Refrigerator
29,Smoke-free
29,"Dine in kitchen"
29,HVAC
29,"WiFi (Paid)"
29,"Paid parking"
29,"Laundry in building (paid)"
29,"Guarantors allowed"
29,"Hardwood floors"
29,Microwave
29,Oven
29,Refrigerator
30,"Window AC (Common space)"
30,"WiFi (Paid)"
30,"Guarantors allowed"
30,"Paid parking"
30,"Laundry in home (free)"
30,HVAC
30,Smoke-free
30,"Hardwood floors"
30,Microwave
30,Oven
30,Refrigerator
31,"Street parking"
31,"32-inch Flat-Screen TV"
31,"WiFi (Paid)"
31,Dishwasher
31,Smoke-free
31,"Guarantors allowed"
31,"Laundry in building (paid)"
31,"Electric heating"
31,"Living area"
31,"Hardwood floors"
31,Microwave
31,Oven
31,Refrigerator
32,"WiFi (Paid)"
32,Smoke-free
32,"Guarantors allowed"
32,"Gas heating"
32,"Laundry in building (paid)"
33,Dishwasher
33,"32-inch Flat-Screen TV"
33,Smoke-free
33,"Guarantors allowed"
33,"Radiator heating"
33,"Hardwood floors"
33,Microwave
33,Oven
33,Refrigerator
34,"Street parking"
34,Dishwasher
34,Smoke-free
34,"Guarantors allowed"
34,"Radiator heating"
34,"Laundry in home (free)"
34,"32-inch Flat-Screen TV"
34,"Living area"
34,Microwave
34,Oven
34,Refrigerator
35,Dishwasher
35,"32-inch Flat-Screen TV"
35,Smoke-free
35,"Guarantors allowed"
35,"Radiator heating"
35,"Hardwood floors"
35,Microwave
35,Oven
35,Refrigerator
36,"Laundry in home (free)"
36,"Dine in kitchen"
36,"Radiator heating"
36,"Paid parking"
36,Smoke-free
36,"WiFi (Paid)"
36,"Guarantors allowed"
36,"Outdoor space"
36,"Hardwood floors"
36,Microwave
36,Oven
36,Refrigerator
37,Dishwasher
37,"32-inch Flat-Screen TV"
37,Smoke-free
37,"Guarantors allowed"
37,"Radiator heating"
37,"Hardwood floors"
37,Microwave
37,Oven
37,Refrigerator
38,"Street parking"
38,"WiFi (Paid)"
38,"Guarantors allowed"
38,"Laundry in building (paid)"
38,HVAC
38,Smoke-free
38,"Hardwood floors"
38,Microwave
38,Oven
38,Refrigerator
39,"Street parking"
39,"Dine in kitchen"
39,Smoke-free
39,"Guarantors allowed"
39,"Laundry in building (paid)"
39,"Electric heating"
39,"WiFi (Paid)"
39,Microwave
39,Oven
39,Refrigerator
40,"Laundry in building (paid)"
40,HVAC
40,Smoke-free
40,"WiFi (Paid)"
40,"Guarantors allowed"
40,"Hardwood floors"
40,Microwave
40,Oven
40,Refrigerator
41,"Paid parking"
41,Smoke-free
41,"Guarantors allowed"
41,"Laundry in building (paid)"
41,"Dine in kitchen"
41,Dishwasher
41,HVAC
41,Balcony
41,Microwave
41,Oven
41,Refrigerator
42,"Street parking"
42,Smoke-free
42,"WiFi (Paid)"
42,"Guarantors allowed"
42,"Laundry in building (paid)"
42,"Electric heating"
42,Dishwasher
42,"Wall-Mounted TV"
42,"Hardwood floors"
42,Oven
42,Refrigerator
43,"Paid parking"
43,Smoke-free
43,"Guarantors allowed"
43,"Laundry in building (paid)"
43,"Dine in kitchen"
43,Dishwasher
43,HVAC
43,Balcony
43,Microwave
43,Oven
43,Refrigerator
44,"Laundry in building (paid)"
44,"Electric heating"
44,"Paid parking"
44,Smoke-free
44,"WiFi (Paid)"
44,"Guarantors allowed"
44,Dishwasher
44,"Hardwood floors"
44,Microwave
44,Oven
44,Refrigerator
45,"Central AC (Common space)"
45,"Central heating"
45,"Laundry in home (free)"
45,"Paid parking"
45,"32-inch Flat-Screen TV"
45,Dishwasher
45,Smoke-free
45,"WiFi (Paid)"
45,"Guarantors allowed"
45,"Hardwood floors"
45,Oven
45,Refrigerator
46,"Street parking"
46,"Laundry in building (paid)"
46,Smoke-free
46,"Guarantors allowed"
46,"Dine in kitchen"
46,"Electric heating"
46,"WiFi (Paid)"
46,Dishwasher
46,Microwave
46,Oven
46,Refrigerator
47,"Guarantors allowed"
47,Dishwasher
47,Smoke-free
47,"WiFi (Paid)"
47,"Gas heating"
47,"Hardwood floors"
47,Oven
47,Refrigerator
48,"Street parking"
48,"Dine in kitchen"
48,Smoke-free
48,"Guarantors allowed"
48,"Laundry in building (paid)"
48,"Electric heating"
48,"WiFi (Paid)"
48,Microwave
48,Oven
48,Refrigerator
49,"Street parking"
49,Smoke-free
49,"Guarantors allowed"
49,"Laundry in home (free)"
49,"Dine in kitchen"
49,"Radiator heating"
49,Dishwasher
49,"Hardwood floors"
49,Microwave
49,Oven
49,Refrigerator
50,"Laundry in building (paid)"
50,"Electric heating"
50,"Paid parking"
50,Smoke-free
50,"WiFi (Paid)"
50,"Guarantors allowed"
50,Dishwasher
50,"Hardwood floors"
50,Microwave
50,Oven
50,Refrigerator
51,"Street parking"
51,Smoke-free
51,"Guarantors allowed"
51,"Laundry in home (free)"
51,"Dine in kitchen"
51,"Radiator heating"
51,Dishwasher
51,"Hardwood floors"
51,Microwave
51,Oven
51,Refrigerator
52,"Street parking"
52,Smoke-free
52,"WiFi (Paid)"
52,"Guarantors allowed"
52,"Laundry in building (paid)"
52,"Window AC (Common space)"
52,"32-inch Flat-Screen TV"
52,"Electric heating"
52,"Hardwood floors"
52,Microwave
52,Oven
52,Refrigerator
53,"Street parking"
53,"WiFi (Paid)"
53,"Guarantors allowed"
53,"Laundry in building (paid)"
53,HVAC
53,Smoke-free
53,"Hardwood floors"
53,Microwave
53,Oven
53,Refrigerator
54,"Street parking"
54,Smoke-free
54,"WiFi (Paid)"
54,"Guarantors allowed"
54,"Laundry in home (free)"
54,Dishwasher
54,HVAC
54,"Decorative fireplace"
54,"Wall-Mounted TV"
54,"Hardwood floors"
54,Oven
54,Refrigerator
55,"WiFi (Paid)"
55,Smoke-free
55,"Guarantors allowed"
55,"Gas heating"
55,"Laundry in building (paid)"
56,Smoke-free
56,"Street parking"
56,Dishwasher
56,"Guarantors allowed"
56,"WiFi (Paid)"
56,"Laundry in building (free)"
56,"Hardwood floors"
56,Microwave
56,Oven
56,Refrigerator
57,"Street parking"
57,Dishwasher
57,Smoke-free
57,"Guarantors allowed"
57,"Radiator heating"
57,"Laundry in home (free)"
57,"32-inch Flat-Screen TV"
57,"Living area"
57,Microwave
57,Oven
57,Refrigerator
58,"Street parking"
58,Dishwasher
58,Smoke-free
58,"Guarantors allowed"
58,"Radiator heating"
58,"Laundry in home (free)"
58,"32-inch Flat-Screen TV"
58,"Living area"
58,Microwave
58,Oven
58,Refrigerator
59,"Laundry in home (free)"
59,"WiFi (Paid)"
59,"Guarantors allowed"
59,HVAC
59,"Central AC (Common space)"
59,"32-inch Flat-Screen TV"
59,"Paid parking"
59,Dishwasher
59,Smoke-free
59,"Hardwood floors"
59,Oven
59,Refrigerator
60,"Window AC (Common space)"
60,"WiFi (Paid)"
60,"Guarantors allowed"
60,"Paid parking"
60,"Laundry in home (free)"
60,HVAC
60,Smoke-free
60,"Hardwood floors"
60,Microwave
60,Oven
60,Refrigerator
61,"Street parking"
61,Smoke-free
61,"Guarantors allowed"
61,"Laundry in home (free)"
61,"Dine in kitchen"
61,"Radiator heating"
61,Dishwasher
61,"Hardwood floors"
61,Microwave
61,Oven
61,Refrigerator
62,Smoke-free
62,Dishwasher
62,HVAC
62,"WiFi (Paid)"
62,"Laundry in building (paid)"
62,"Guarantors allowed"
62,"Hardwood floors"
62,Microwave
62,Oven
62,Refrigerator
63,"Street parking"
63,Smoke-free
63,"WiFi (Paid)"
63,"Guarantors allowed"
63,"Electric heating"
63,"Laundry in building (paid)"
63,Dishwasher
63,"Wall-Mounted TV"
63,"Hardwood floors"
63,Oven
63,Refrigerator
64,"WiFi (Paid)"
64,"32-inch Flat-Screen TV"
64,"Smart lock"
64,Smoke-free
64,"Guarantors allowed"
64,HVAC
64,Dishwasher
64,"Laundry in building (paid)"
64,"Portable AC (Common space)"
64,"Hardwood floors"
64,Oven
64,Refrigerator
65,"Dining area"
65,"WiFi (Paid)"
65,Smoke-free
65,"Guarantors allowed"
65,"Laundry in building (paid)"
65,"Street parking"
65,"32-inch Flat-Screen TV"
65,"Radiator heating"
65,Dishwasher
65,"Living area"
65,"Hardwood floors"
65,Microwave
65,Oven
65,Refrigerator
66,Dishwasher
66,"32-inch Flat-Screen TV"
66,Smoke-free
66,"Guarantors allowed"
66,"Radiator heating"
66,"Hardwood floors"
66,Microwave
66,Oven
66,Refrigerator
67,"Street parking"
67,Smoke-free
67,"Guarantors allowed"
67,"Laundry in home (free)"
67,"Dine in kitchen"
67,"Radiator heating"
67,Dishwasher
67,"Hardwood floors"
67,Microwave
67,Oven
67,Refrigerator
68,"Street parking"
68,Smoke-free
