id,Trans_id,stations,walktime,description
28,1,"Fitchburg Line ",8,Porter
28,2,88,2,"Highland Ave @ Willow Ave"
28,2,89,2,"Highland Ave @ Willow Ave"
28,3,87,10,Davis
28,3,88,10,Davis
28,3,89,10,Davis
28,3,90,10,Davis
28,3,94,10,Davis
28,3,96,10,Davis
29,0,80,1,"Medford St @ Glenwood Rd"
29,1,89,5,"Broadway @ Medford St - Magoun Sq"
29,1,89/93,5,"Broadway @ Medford St - Magoun Sq"
29,2,101,10,"Main St @ Broadway"
30,0,"Red Line ",6,"JFK / UMass"
30,1,"Greenbush/Kingston ",6,"JFK / UMass"
30,2,"Middleborough/Lakeville ",6,"JFK / UMass"
30,3,18,2,"Dorchester Ave @ Edison Green"
31,0,"B ",8,"Harvard Avenue"
31,1,"Framingham/Worcester Line ",12,"Boston Landing"
31,2,64,2,"Cambridge St @ Linden St"
31,2,66,2,"Cambridge St @ Linden St"
31,2,501,2,"Cambridge St @ Linden St"
32,0,"Framingham/Worcester ",6,Auburndale
32,1,"D ",11,Riverside
32,2,558,11,Riverside
32,3,"MBRS ",11,Riverside
33,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",11,"JFK / UMass"
33,1,"Red Line ",11,"JFK / UMass"
33,2,8,11,"JFK / UMass"
33,2,16,11,"JFK / UMass"
33,2,41,11,"JFK / UMass"
34,0,"Fairmount Line ",7,"Four Corners/Geneva"
34,1,14,3,"Blue Hill Ave opp McLellan St"
34,1,22,3,"Blue Hill Ave opp McLellan St"
34,1,28,3,"Blue Hill Ave opp McLellan St"
34,1,29,3,"Blue Hill Ave opp McLellan St"
34,1,45,3,"Blue Hill Ave opp McLellan St"
34,2,16,3,"Old Rd @ Ellington St"
35,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",11,"JFK / UMass"
35,1,"Red Line ",11,"JFK / UMass"
35,2,8,11,"JFK / UMass"
35,2,16,11,"JFK / UMass"
35,2,41,11,"JFK / UMass"
36,0,"Fairmount Line Franklin Line ",9,"Uphams Corner"
36,1,"Kingston Line Greenbush Line Middleborough/Lakeville Line ",12,"JFK / UMass"
36,2,"Red Line ",12,"JFK / UMass"
36,3,8,12,"JFK / UMass"
36,3,,12,"JFK / UMass"
36,3,16,12,"JFK / UMass"
36,3,41,12,"JFK / UMass"
36,3,Red,12,"JFK / UMass"
36,3,Line,12,"JFK / UMass"
36,3,Shuttle,12,"JFK / UMass"
37,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",11,"JFK / UMass"
37,1,"Red Line ",11,"JFK / UMass"
37,2,8,11,"JFK / UMass"
37,2,16,11,"JFK / UMass"
37,2,41,11,"JFK / UMass"
38,0,"Red Line ",8,Andrew
38,1,"Fairmount Line Franklin Line ",11,Newmarket
38,2,"Greenbush Kingston Middleborough/Lakeville ",14,"JFK / UMass"
38,3,8,14,"JFK / UMass"
38,3,41,14,"JFK / UMass"
38,3,16,14,"JFK / UMass"
39,0,"Framingham/Worcester Line ",12,"Boston Landing"
39,1,64,1,"Cambridge St @ Linden St"
39,1,66,1,"Cambridge St @ Linden St"
39,1,501,1,"Cambridge St @ Linden St"
39,2,57,4,"Brighton Ave @ Linden St"
40,0,"Red Line ",8,Andrew
40,1,"Fairmount Line Franklin Line ",11,Newmarket
40,2,"Greenbush Kingston Middleborough/Lakeville ",14,"JFK / UMass"
40,3,8,14,"JFK / UMass"
40,3,41,14,"JFK / UMass"
40,3,16,14,"JFK / UMass"
41,0,"Red Line ",8,Porter
41,1,"Fitchburg Line ",8,Porter
41,2,88,2,"Highland Ave @ Willow Ave"
41,2,89,2,"Highland Ave @ Willow Ave"
41,3,87,10,Davis
41,3,88,10,Davis
41,3,89,10,Davis
41,3,90,10,Davis
41,3,94,10,Davis
41,3,96,10,Davis
42,0,"Orange Line ",8,"Stony Brook"
42,1,42,1,"Washington St @ School St"
42,2,22,2,"Columbus Ave @ Weld Ave"
42,2,29,2,"Columbus Ave @ Weld Ave"
42,2,44,2,"Columbus Ave @ Weld Ave"
43,0,"Red Line ",8,Porter
43,1,"Fitchburg Line ",8,Porter
43,2,88,2,"Highland Ave @ Willow Ave"
43,2,89,2,"Highland Ave @ Willow Ave"
43,3,87,10,Davis
43,3,88,10,Davis
43,3,89,10,Davis
43,3,90,10,Davis
43,3,94,10,Davis
43,3,96,10,Davis
44,0,"E ",5,"Fenwood Road"
44,1,"Orange Line ",10,"Roxbury Crossing"
44,2,35,4,"Huntington Ave opp Fenwood Rd"
44,2,39,4,"Huntington Ave opp Fenwood Rd"
44,2,66,4,"Huntington Ave opp Fenwood Rd"
45,0,"B ",16,"Boston College"
46,0,"B ",8,"Harvard Avenue"
46,1,"Framingham/Worcester ",12,"Boston Landing"
46,2,64,2,"Cambridge St @ Linden St"
46,2,66,2,"Cambridge St @ Linden St"
46,2,501,2,"Cambridge St @ Linden St"
47,0,"Fairmount/Franklin ",8,"Uphams Corner"
47,1,"Red Line ",15,"JFK / UMass"
47,2,"Greenbush/Kingston ",15,"JFK / UMass"
47,3,"Middleborough/Lakeville ",15,"JFK / UMass"
48,0,"Framingham/Worcester Line ",12,"Boston Landing"
48,1,64,1,"Cambridge St @ Linden St"
48,1,66,1,"Cambridge St @ Linden St"
48,1,501,1,"Cambridge St @ Linden St"
48,2,57,4,"Brighton Ave @ Linden St"
49,0,"B ",14,"Warren Street"
49,1,51,5,"Market St @ Keenan Rd"
49,1,57,5,"Market St @ Keenan Rd"
49,1,66,5,"Market St @ Keenan Rd"
49,2,86,6,"Cambridge St @ Dustin St"
50,0,"E ",5,"Fenwood Road"
50,1,"Orange Line ",10,"Roxbury Crossing"
50,2,35,4,"Huntington Ave opp Fenwood Rd"
50,2,39,4,"Huntington Ave opp Fenwood Rd"
50,2,66,4,"Huntington Ave opp Fenwood Rd"
51,0,"B ",14,"Warren Street"
51,1,51,5,"Market St @ Keenan Rd"
51,1,57,5,"Market St @ Keenan Rd"
51,1,66,5,"Market St @ Keenan Rd"
51,2,86,6,"Cambridge St @ Dustin St"
52,0,"Orange Line ",8,"Jackson Square"
52,1,"E ",9,"Health Street"
53,0,"Red Line ",8,Andrew
53,1,"Fairmount Line Franklin Line ",11,Newmarket
53,2,"Greenbush Kingston Middleborough/Lakeville ",14,"JFK / UMass"
53,3,8,14,"JFK / UMass"
53,3,41,14,"JFK / UMass"
53,3,16,14,"JFK / UMass"
54,0,"Red line ",3,"JFK / UMass"
54,1,"Greenbush Kingston ",3,"JFK / UMass"
54,2,"Middleborough/Lakeville ",3,"JFK / UMass"
54,3,8,3,"JFK / UMass"
54,3,16,3,"JFK / UMass"
54,3,41,3,"JFK / UMass"
55,0,"Framingham/Worcester ",6,Auburndale
55,1,"D ",11,Riverside
55,2,558,11,Riverside
55,3,"MBRS ",11,Riverside
56,0,"Red Line ",10,"JFK / UMass"
56,1,"Kingston/Greenbush ",10,"JFK / UMass"
56,2,"Middleborough/Lakeville ",10,"JFK / UMass"
56,3,8,10,"JFK / UMass"
56,3,16,10,"JFK / UMass"
56,3,41,10,"JFK / UMass"
57,0,"Fairmount Line ",7,"Four Corners/Geneva"
57,1,14,3,"Blue Hill Ave opp McLellan St"
57,1,22,3,"Blue Hill Ave opp McLellan St"
57,1,28,3,"Blue Hill Ave opp McLellan St"
57,1,29,3,"Blue Hill Ave opp McLellan St"
57,1,45,3,"Blue Hill Ave opp McLellan St"
57,2,16,3,"Old Rd @ Ellington St"
58,0,"Fairmount Line ",7,"Four Corners/Geneva"
58,1,14,3,"Blue Hill Ave opp McLellan St"
58,1,22,3,"Blue Hill Ave opp McLellan St"
58,1,28,3,"Blue Hill Ave opp McLellan St"
58,1,29,3,"Blue Hill Ave opp McLellan St"
58,1,45,3,"Blue Hill Ave opp McLellan St"
58,2,16,3,"Old Rd @ Ellington St"
59,0,"Red Line ",3,"JFK / UMass"
59,1,"Greenbush/Kingston ",3,"JFK / UMass"
59,2,"Lakeville Line ",3,"JFK / UMass"
60,0,"Red Line ",6,"JFK / UMass"
60,1,"Greenbush Line Kingston Line ",6,"JFK / UMass"
60,2,"Fairmount Line Franklin Line ",15,"Uphams Corner"
60,3,8,6,"JFK / UMass"
60,3,16,6,"JFK / UMass"
60,3,41,6,"JFK / UMass"
61,0,"B ",14,"Warren Street"
61,1,51,5,"Market St @ Keenan Rd"
61,1,57,5,"Market St @ Keenan Rd"
61,1,66,5,"Market St @ Keenan Rd"
61,2,86,6,"Cambridge St @ Dustin St"
62,0,"Red LIne ",8,"JFK / UMass"
62,1,"Greenbush/Kingston ",8,"JFK / UMass"
62,2,"Middleborough/Lakeville ",8,"JFK / UMass"
62,3,8,8,"JFK / UMass"
62,3,16,8,"JFK / UMass"
62,3,41,8,"JFK / UMass"
62,4,18,2,"Dorchster Ave @ Howes St"
63,0,57,2,"Washington St @ Oak Square Ave"
63,0,501,2,"Washington St @ Oak Square Ave"
63,1,64,6,"Faneuil St @ Brooks St"
64,0,"B ",8,"Harvard Avenue"
64,1,64,1,"Cambridge Street"
64,1,66,1,"Cambridge Street"
64,1,501,1,"Cambridge Street"
65,0,64,6,"Brooks St @ Faneuil St"
65,1,57,8,"Washington St @ Foster St"
65,1,501,8,"Washington St @ Foster St"
65,2,86,9,"Market St @ Sparhawk St"
66,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",11,"JFK / UMass"
66,1,"Red Line ",11,"JFK / UMass"
66,2,8,11,"JFK / UMass"
66,2,16,11,"JFK / UMass"
66,2,41,11,"JFK / UMass"
67,0,"B ",14,"Warren Street"
67,1,51,5,"Market St @ Keenan Rd"
67,1,57,5,"Market St @ Keenan Rd"
67,1,66,5,"Market St @ Keenan Rd"
67,2,86,6,"Cambridge St @ Dustin St"
68,0,"B ",14,"Warren Street"
68,1,51,5,"Market St @ Keenan Rd"
68,1,57,5,"Market St @ Keenan Rd"
68,1,66,5,"Market St @ Keenan Rd"
68,2,86,6,"Cambridge St @ Dustin St"
69,0,"B ",4,"Sutherland Road"
69,1,"C ",5,"Dean Road"
70,0,"Red Line ",14,"JFK / UMass"
70,1,"Fairmount Franklin ",8,"Uphams Corner"
70,2,"Greenbush Kingstone Middleborough/Lakeville ",14,"JFK / UMass"
70,3,"Middleborough/Lakeville ",14,"JFK / UMass"
71,0,"Fairmount Line ",5,"Uphams Corner"
71,1,"Kingston Line ",15,"JFK / UMass"
71,2,"Greenbush Line ",15,"JFK / UMass"
71,3,"Red line ",15,"JFK / UMass"
71,4,16,5,"Columbia Rd @ Holden St"
71,4,17,5,"Columbia Rd @ Holden St"
71,4,41,5,"Columbia Rd @ Holden St"
72,0,57,5,"Tremont St @ Washington St"
72,0,501,5,"Tremont St @ Washington St"
72,1,64,5,"Faneuil St @ Bigelow St"
73,0,"Red Line ",14,"JFK / UMass"
73,1,"Fairmount Franklin ",8,"Uphams Corner"
73,2,"Greenbush Kingstone Middleborough/Lakeville ",14,"JFK / UMass"
73,3,"Middleborough/Lakeville ",14,"JFK / UMass"
74,0,"B ",14,"Warren Street"
74,1,51,5,"Market St @ Keenan Rd"
74,1,57,5,"Market St @ Keenan Rd"
74,1,66,5,"Market St @ Keenan Rd"
74,2,86,6,"Cambridge St @ Dustin St"
75,0,"Red Line ",6,JFK/UMass
75,1,"Greenbush Line Kingston Line ",6,JFK/UMass
75,2,"Fairmount Line Franklin/Foxboro Line ",15,Newmarket
75,3,8,6,JFK/UMass
75,3,16,6,JFK/UMass
75,3,41,6,JFK/UMass
76,0,"B ",8,"Harvard Avenue"
76,1,"Framingham ",13,"Boston Landing"
77,0,57,3,"Washington St @ Brock St"
77,0,501,3,"Washington St @ Brock St"
77,1,51,12,"Chestnut Hill Ave @ Veronica Smith Ctr"
77,1,65,12,"Chestnut Hill Ave @ Veronica Smith Ctr"
77,1,86,12,"Chestnut Hill Ave @ Veronica Smith Ctr"
78,0,"B ",8,"Harvard Avenue"
78,1,64,1,"Cambridge Street"
78,1,66,1,"Cambridge Street"
78,1,501,1,"Cambridge Street"
79,0,"Greenbush/Kingston ",1,"JFK / UMass"
79,1,"Red Line ",1,"JFK / UMass"
79,2,"Middleborough/Lakeville ",1,"JFK / UMass"
79,3,8,1,"JFK / UMass"
79,3,16,1,"JFK / UMass"
79,3,41,1,"JFK / UMass"
80,0,"B ",4,"Sutherland Road"
80,1,"C ",5,"Dean Road"
81,0,"Red Line ",8,Porter
81,1,88,2,"Highland Ave @ Willow Ave"
81,1,89,2,"Highland Ave @ Willow Ave"
81,2,"Fitchburg Line ",8,Porter
81,3,87,10,Davis
81,3,88,10,Davis
81,3,89,10,Davis
81,3,90,10,Davis
81,3,94,10,Davis
81,3,96,10,Davis
82,0,"Red LIne ",8,"JFK / UMass"
82,1,"Greenbush/Kingston ",8,"JFK / UMass"
82,2,"Middleborough/Lakeville ",8,"JFK / UMass"
82,3,8,8,"JFK / UMass"
82,3,16,8,"JFK / UMass"
82,3,41,8,"JFK / UMass"
82,4,18,2,"Dorchster Ave @ Howes St"
83,0,"Red Line ",8,Andrew
83,1,"Fairmount Franklin ",11,Newmarket
83,2,"Greenbush Kingston ",14,"JFK / UMass"
